file_path,line_no,function_name,return_type,parameter_types,full_signature
BasicServicesKit/oh_commonevent.h,395,OH_CommonEvent_SetIntToParameters,CommonEvent_ErrCode,"CommonEvent_Parameters* param, const char* key, int value","CommonEvent_ErrCode OH_CommonEvent_SetIntToParameters(CommonEvent_Parameters* param, const char* key, int value);"
BasicServicesKit/oh_commonevent.h,472,OH_CommonEvent_SetLongArrayToParameters,CommonEvent_ErrCode,unknown,"CommonEvent_ErrCode OH_CommonEvent_SetLongArrayToParameters(CommonEvent_Parameters* param, const char* key,"
BasicServicesKit/oh_commonevent.h,446,OH_CommonEvent_SetLongToParameters,CommonEvent_ErrCode,"CommonEvent_Parameters* param, const char* key, long value","CommonEvent_ErrCode OH_CommonEvent_SetLongToParameters(CommonEvent_Parameters* param, const char* key, long value);"
BasicServicesKit/oh_commonevent.h,292,OH_CommonEvent_SetPublishInfoBundleName,CommonEvent_ErrCode,"CommonEvent_PublishInfo* info, const char* bundleName","CommonEvent_ErrCode OH_CommonEvent_SetPublishInfoBundleName(CommonEvent_PublishInfo* info, const char* bundleName);"
BasicServicesKit/oh_commonevent.h,318,OH_CommonEvent_SetPublishInfoCode,CommonEvent_ErrCode,"CommonEvent_PublishInfo* info, int32_t code","CommonEvent_ErrCode OH_CommonEvent_SetPublishInfoCode(CommonEvent_PublishInfo* info, int32_t code);"
BasicServicesKit/oh_commonevent.h,331,OH_CommonEvent_SetPublishInfoData,CommonEvent_ErrCode,unknown,"CommonEvent_ErrCode OH_CommonEvent_SetPublishInfoData(CommonEvent_PublishInfo* info,"
BasicServicesKit/oh_commonevent.h,344,OH_CommonEvent_SetPublishInfoParameters,CommonEvent_ErrCode,unknown,"CommonEvent_ErrCode OH_CommonEvent_SetPublishInfoParameters(CommonEvent_PublishInfo* info,"
BasicServicesKit/oh_commonevent.h,305,OH_CommonEvent_SetPublishInfoPermissions,CommonEvent_ErrCode,unknown,"CommonEvent_ErrCode OH_CommonEvent_SetPublishInfoPermissions(CommonEvent_PublishInfo* info,"
BasicServicesKit/oh_commonevent.h,163,OH_CommonEvent_SetPublisherBundleName,CommonEvent_ErrCode,"CommonEvent_SubscribeInfo* info, const char* bundleName","CommonEvent_ErrCode OH_CommonEvent_SetPublisherBundleName(CommonEvent_SubscribeInfo* info, const char* bundleName);"
BasicServicesKit/oh_commonevent.h,151,OH_CommonEvent_SetPublisherPermission,CommonEvent_ErrCode,"CommonEvent_SubscribeInfo* info, const char* permission","CommonEvent_ErrCode OH_CommonEvent_SetPublisherPermission(CommonEvent_SubscribeInfo* info, const char* permission);"
BasicServicesKit/oh_commonevent.h,205,OH_CommonEvent_Subscribe,CommonEvent_ErrCode,const CommonEvent_Subscriber* subscriber,CommonEvent_ErrCode OH_CommonEvent_Subscribe(const CommonEvent_Subscriber* subscriber);
BasicServicesKit/oh_commonevent.h,218,OH_CommonEvent_UnSubscribe,CommonEvent_ErrCode,const CommonEvent_Subscriber* subscriber,CommonEvent_ErrCode OH_CommonEvent_UnSubscribe(const CommonEvent_Subscriber* subscriber);
BasicServicesKit/ohbattery_info.h,104,OH_BatteryInfo_GetCapacity,int32_t,void,int32_t OH_BatteryInfo_GetCapacity();
BasicServicesKit/ohbattery_info.h,116,OH_BatteryInfo_GetPluggedType,BatteryInfo_BatteryPluggedType,void,BatteryInfo_BatteryPluggedType OH_BatteryInfo_GetPluggedType();
BasicServicesKit/os_account.h,56,OH_OsAccount_GetName,OsAccount_ErrCode,"char *buffer, size_t buffer_size","OsAccount_ErrCode OH_OsAccount_GetName(char *buffer, size_t buffer_size);"
BasicServicesKit/ohprint.h,620,OH_Print_ConnectPrinter,Print_ErrorCode,const char *printerId,Print_ErrorCode OH_Print_ConnectPrinter(const char *printerId);
BasicServicesKit/ohprint.h,567,OH_Print_Init,Print_ErrorCode,void,Print_ErrorCode OH_Print_Init();
